# Sr.No.    k (1/nm)             Energy(eV) 
  370         2.800000e+00         1.282097e+00   
  371         2.810000e+00         1.286937e+00   
  372         2.820000e+00         1.291771e+00   
  373         2.830000e+00         1.296599e+00   
  374         2.840000e+00         1.301421e+00   
  375         2.850000e+00         1.306237e+00   
  376         2.860000e+00         1.311048e+00   
  377         2.870000e+00         1.315854e+00   
  378         2.880000e+00         1.320654e+00   
  379         2.890000e+00         1.325448e+00   
  380         2.900000e+00         1.330238e+00   
  381         2.910000e+00         1.335022e+00   
  382         2.920000e+00         1.339800e+00   
  383         2.930000e+00         1.344574e+00   
  384         2.940000e+00         1.349342e+00   
  385         2.950000e+00         1.354105e+00   
  386         2.960000e+00         1.358863e+00   
  387         2.970000e+00         1.363616e+00   
  388         2.980000e+00         1.368364e+00   
  389         2.990000e+00         1.373107e+00   
  390         3.000000e+00         1.377845e+00   
  391         3.010000e+00         1.382579e+00   
  392         3.020000e+00         1.387308e+00   
  393         3.030000e+00         1.392032e+00   
  394         3.040000e+00         1.396751e+00   
  395         3.050000e+00         1.401466e+00   
  396         3.060000e+00         1.406176e+00   
  397         3.070000e+00         1.410882e+00   
  398         3.080000e+00         1.415584e+00   
  399         3.090000e+00         1.420281e+00   
  400         3.100000e+00         1.424973e+00   
  401         3.110000e+00         1.429662e+00   
  402         3.120000e+00         1.434346e+00   
  403         3.130000e+00         1.439026e+00   
  404         3.140000e+00         1.443702e+00   
  405         3.150000e+00         1.448374e+00   
  406         3.160000e+00         1.453041e+00   
  407         3.170000e+00         1.457705e+00   
  408         3.180000e+00         1.462365e+00   
  409         3.190000e+00         1.467021e+00   
  410         3.200000e+00         1.471673e+00   
  411         3.210000e+00         1.476322e+00   
  412         3.220000e+00         1.480966e+00   
  413         3.230000e+00         1.485607e+00   
  414         3.240000e+00         1.490245e+00   
  415         3.250000e+00         1.494878e+00   
  416         3.260000e+00         1.499508e+00   
  417         3.270000e+00         1.504135e+00   
  418         3.280000e+00         1.508758e+00   
  419         3.290000e+00         1.513378e+00   
  420         3.300000e+00         1.517995e+00   
  421         3.310000e+00         1.522608e+00   
  422         3.320000e+00         1.527218e+00   
  423         3.330000e+00         1.531824e+00   
  424         3.340000e+00         1.536428e+00   
  425         3.350000e+00         1.541028e+00   
  426         3.360000e+00         1.545625e+00   
  427         3.370000e+00         1.550219e+00   
  428         3.380000e+00         1.554810e+00   
  429         3.390000e+00         1.559398e+00   
  430         3.400000e+00         1.563983e+00   
  431         3.410000e+00         1.568565e+00   
  432         3.420000e+00         1.573144e+00   
  433         3.430000e+00         1.577720e+00   
  434         3.440000e+00         1.582294e+00   
  435         3.450000e+00         1.586865e+00   
  436         3.460000e+00         1.591433e+00   
  437         3.470000e+00         1.595998e+00   
  438         3.480000e+00         1.600560e+00   
  439         3.490000e+00         1.605120e+00   
  440         3.500000e+00         1.609678e+00   
  441         3.510000e+00         1.614232e+00   
  442         3.520000e+00         1.618784e+00   
  443         3.530000e+00         1.623334e+00   
  444         3.540000e+00         1.627881e+00   
  445         3.550000e+00         1.632426e+00   
  446         3.560000e+00         1.636968e+00   
  447         3.570000e+00         1.641507e+00   
  448         3.580000e+00         1.646045e+00   
  449         3.590000e+00         1.650579e+00   
  450         3.600000e+00         1.655112e+00   
  451         3.610000e+00         1.659642e+00   
  452         3.620000e+00         1.664170e+00   
  453         3.630000e+00         1.668695e+00   
  454         3.640000e+00         1.673218e+00   
  455         3.650000e+00         1.677739e+00   
  456         3.660000e+00         1.682258e+00   
  457         3.670000e+00         1.686774e+00   
  458         3.680000e+00         1.691289e+00   
